[-17.484507751464843, 0.05864138603210449, 16.6, [100, 1000, 20, 1000, 1e-09, 10], 1.0557651555027718]
[-17.428086662292483, 0.0557469367980957, 25.4, [100, 200, 20, 1000, 1e-06, 10], 1.1119614057725853]
[-17.41280288696289, 0.0160515308380127, 7.199999999999999, [5, 200, 100, 1000, 1e-06, 1], 1.1260060235818858]
[-17.40308418273926, 0.05355138778686524, 5.2, [100, 500, 100, 100, 1e-06, 1], 1.136831358711371]
[-17.395602416992187, 0.12745251655578613, 19.0, [100, 500, 20, 100, 1e-09, 10], 1.1500552096691592]
[-17.335619354248045, 0.05754423141479492, 20.6, [5, 1000, 20, 1000, 1e-09, 10], 1.2044087771511438]
[-17.640805435180667, 0.8343541145324707, 30.0, [5, 1000, 100, 100, 1e-09, 10], 1.2248703032782406]
[-17.18311996459961, 0.03352503776550293, 23.2, [5, 200, 20, 1000, 1e-06, 10], 1.355975878514029]
[-17.392516326904296, 0.9062546253204345, 26.2, [5, 1000, 100, 1000, 1e-09, 10], 1.460413323435824]
[-17.060314178466797, 0.04389185905456543, 4.0, [100, 500, 100, 100, 1e-09, 1], 1.4790123702897204]
[-17.064450454711913, 0.1529707431793213, 19.599999999999998, [100, 500, 20, 1000, 1e-09, 10], 1.4820481327687836]
[-17.043439292907713, 0.015862512588500976, 4.8, [100, 200, 100, 1000, 1e-06, 1], 1.4953437086362886]
[-17.03712615966797, 0.03312993049621582, 18.8, [100, 200, 20, 100, 1e-06, 10], 1.5019238888769122]
[-16.986769676208496, 0.021850013732910158, 4.199999999999999, [100, 500, 100, 1000, 1e-09, 1], 1.5520786597855762]
[-16.92115020751953, 0.01312713623046875, 3.2, [100, 1000, 100, 1000, 1e-09, 1], 1.6176049858492645]
[-16.91688175201416, 0.03710641860961914, 13.8, [100, 1000, 20, 100, 1e-09, 10], 1.6222262401792995]
[-16.79974822998047, 0.034001493453979494, 23.4, [5, 200, 20, 1000, 1e-09, 10], 1.739271816327223]
[-16.799606132507325, 0.09333696365356445, 25.599999999999998, [5, 1000, 20, 100, 1e-06, 10], 1.7415420449666927]
[-16.768217658996583, 0.02891688346862793, 4.6, [100, 1000, 100, 100, 1e-06, 1], 1.7707101341965292]
[-16.74488410949707, 0.052018356323242185, 23.8, [100, 200, 20, 1000, 1e-09, 10], 1.7945458695391898]
[-16.717392539978025, 0.030531930923461917, 16.599999999999998, [5, 500, 20, 100, 1e-06, 10], 1.8215544709365583]
[-16.68376598358154, 0.028603744506835935, 16.2, [5, 500, 20, 1000, 1e-06, 10], 1.855147321007246]
[-16.66069507598877, 0.1470931529998779, 19.599999999999998, [100, 500, 20, 100, 1e-06, 10], 1.8836713462505408]
[-16.612794303894045, 0.05386462211608887, 16.0, [100, 1000, 20, 100, 1e-06, 10], 1.9266359602071752]
[-16.608768272399903, 0.016037559509277342, 3.5999999999999996, [100, 500, 100, 1000, 1e-06, 1], 1.9299999703064714]
[-16.58926086425781, 0.013110494613647461, 4.2, [5, 1000, 100, 100, 1e-06, 1], 1.9494867973524022]
[-16.54540958404541, 0.024805450439453126, 4.3999999999999995, [100, 1000, 100, 100, 1e-09, 1], 1.9934412065990834]
[-16.528422355651855, 0.027982378005981447, 4.4, [100, 1000, 100, 1000, 1e-06, 1], 2.010467000024977]
[-16.374067115783692, 0.002000570297241211, 2.1999999999999997, [100, 200, 20, 1000, 1e-09, 1], 2.164644564159471]
[-16.239232635498045, 0.003583860397338867, 3.2, [100, 200, 20, 100, 1e-09, 1], 2.299480102468282]
[-16.22619285583496, 0.02417135238647461, 4.6, [5, 1000, 100, 1000, 1e-06, 1], 2.3126323417633468]
[-16.162964057922363, 0.008139371871948242, 4.3999999999999995, [5, 200, 100, 100, 1e-06, 1], 2.375757495447069]
[-16.04863929748535, 0.002247047424316406, 2.4, [100, 500, 20, 1000, 1e-06, 1], 2.4900724522466113]
[-16.029656219482423, 0.004061603546142578, 3.4000000000000004, [100, 200, 20, 1000, 1e-06, 1], 2.5090569100184195]
[-16.018765830993654, 0.0029929161071777345, 3.0, [100, 1000, 20, 100, 1e-09, 1], 2.519946323511493]
[-15.996717643737792, 0.0021063327789306637, 2.4, [100, 1000, 20, 1000, 1e-09, 1], 2.541994050260259]
[-15.959678840637206, 0.0023978233337402345, 2.6, [100, 500, 20, 1000, 1e-09, 1], 2.5790329651581314]
[-15.828005409240722, 0.14126925468444823, 18.0, [100, 500, 20, 1000, 1e-06, 10], 2.7143203095148363]
[-15.75887222290039, 0.009615087509155273, 3.1999999999999997, [100, 500, 20, 100, 1e-09, 1], 2.779851928020685]
[-15.692823219299317, 0.02616257667541504, 19.4, [5, 200, 20, 100, 1e-06, 10], 2.845997416794125]
[-15.652344894409179, 0.027857542037963867, 19.0, [5, 200, 20, 100, 1e-09, 10], 2.88648934172093]
[-15.600098419189452, 0.03905758857727051, 7.3999999999999995, [5, 500, 100, 1000, 1e-09, 1], 2.9388564035413083]
[-15.593742942810058, 0.018552875518798827, 5.0, [5, 1000, 100, 100, 1e-09, 1], 2.9450194684566493]
[-15.548106384277343, 0.09612922668457032, 24.799999999999997, [5, 500, 20, 1000, 1e-09, 10], 2.992110021943391]
[-15.231535911560059, 0.010955381393432618, 4.2, [5, 500, 100, 1000, 1e-06, 1], 3.3071898937509365]
[-15.222483825683595, 0.003496265411376953, 2.4, [100, 200, 20, 100, 1e-06, 1], 3.316228486757092]
[-15.198929214477538, 0.06995716094970703, 22.0, [5, 500, 20, 100, 1e-09, 10], 3.3404891085172044]
[-15.100362586975098, 0.016560745239257813, 4.6, [5, 500, 100, 100, 1e-06, 1], 3.438383074730513]
[-15.025496292114259, 0.0629990577697754, 21.0, [5, 1000, 20, 100, 1e-09, 10], 3.5137579706850026]
[-15.02274570465088, 0.013495922088623047, 4.2, [5, 1000, 100, 1000, 1e-09, 1], 3.515987188752035]
[-15.012565803527831, 0.001967144012451172, 2.2, [100, 1000, 20, 100, 1e-06, 1], 3.5261458184024956]
[-14.76057243347168, 0.00303034782409668, 3.0, [100, 1000, 20, 1000, 1e-06, 1], 3.778139536515328]
[-14.603597640991211, 0.002228069305419922, 4.6, [5, 500, 20, 1000, 1e-09, 1], 3.935114029816805]
[-14.51402072906494, 0.02886333465576172, 6.199999999999999, [5, 500, 100, 100, 1e-09, 1], 4.024785583717981]
